AREA_NM,New_ADDR,Old_ADDR
엉알해안산책로,제주특별자치도 제주시 한경면 노을해안로 1143,제주특별자치도 제주시 한경면 고산리 3616-10
에버리스 골프리조트,제주특별자치도 제주시 애월읍 평화로 1693-75,제주특별자치도 제주시 애월읍 어음리 523-22
에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,제주특별자치도 제주시 조천읍 대흘리 1221-1
에코승마아카데미,제주특별자치도 제주시 조천읍 비자림로 1065,제주특별자치도 제주시 조천읍 교래리 39-3
에코승마아카데미(구.제주승마장),제주특별자치도 제주시 조천읍 교래리 39-3번지 (비자림로 1065),명제주특별자치도 제주시 조천읍 비자림로 1065
여미지식물원,제주특별자치도 서귀포시 중문관광로 93,제주특별자치도 서귀포시 색달동 2484-1
연대포구,제주특별자치도 제주시 외도2동,제주특별자치도 제주시 외도2동
연미마을(오라리 방화사건 현장),제주특별자치도 제주시 연사길 142,제주특별자치도 제주시 오라이동 3030-1
연북정,제주특별자치도 제주시 조천읍 조천리 2690,제주특별자치도 제주시 조천읍 조천리 2690
연화못,제주특별자치도 제주시 애월읍 고하상로,제주 제주시 애월읍 하가리
열리해안길,제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동
영남동,제주특별자치도 서귀포시 산록남로 1966-34,제주특별자치도 서귀포시 영남동 224
영등할망 신화공원,제주 제주시 한림읍 귀덕11길 19,제주특별자치도 제주시 한림읍 귀덕리 989-2
영모원,제주특별자치도 제주시 애월읍 하귀리 1130-1,제주특별자치도 제주시 애월읍 하귀리 1130-1
영실기암,제주특별자치도 서귀포시 하원동,제주특별자치도 서귀포시 하원동
영주산,제주특별자치도 서귀포시 표선면 번영로,제주특별자치도 서귀포시 표선면
영천악(영천오름),제주특별자치도 서귀포시 516로 652,제주특별자치도 서귀포시 상효동 1154-11
예래생태체험관,제주특별자치도 서귀포시 예래로 213,제주특별자치도 서귀포시 하예동 24-1
예래해안도로,제주특별자치도 서귀포시 예래해안로,제주특별자치도 서귀포시 하예동
예술공간 이아,제주특별자치도 제주시 중앙로14길 21,제주특별자치도 제주시 삼도이동 154
예절이오름(여절악),제주특별자치도 서귀포시 남원읍 신흥리 산 18,제주특별자치도 서귀포시 남원읍 신흥리 산 18
예초리,제주특별자치도 제주시 추자도 예초리,제주특별자치도 제주시 추자도 예초리
예초리기정길,제주특별자치도 제주시 추자면 예초리 산 1,제주특별자치도 제주시 추자면 예초리 산 1
예초리포구,제주특별자치도 제주시 추자면 추자로 753,제주특별자치도 제주시 추자면 예초리 200-1
예초리해변,제주특별자치도 제주시 추자면 예초리,제주특별자치도 제주시 추자면 예초리
오라동 청보리-메밀꽃밭,제주특별자치도 제주시 오라2동 산 76,제주특별자치도 제주시 오라2동 산 76
오래물,제주특별자치도 제주시 도공로 2,제주특별자치도 제주시 도두일동 2614-5
오름터 민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 99,제주특별자치도 서귀포시 표선면 성읍리 599-1
오림반,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리
오멍가멍 애견카페&호텔,제주특별자치도 제주시 어영길 64-14,제주특별자치도 제주시 용담삼동 1206
오백나한,제주특별자치도 서귀포시 영실로 245 (하원동),제주특별자치도 서귀포시 하원동 산1-1
오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1
오조포구,제주특별자치도 서귀포시 성산읍 오조리,제주특별자치도 서귀포시 성산읍 오조리
오페라 옴니아 : 라파엘로展,제주특별자치도 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리 산39
오현단,제주특별자치도 제주시 오현길 61,제주특별자치도 제주시 이도일동 1421-34
옥돔마을,제주특별자치도 서귀포시 남원읍 남태해안로 508,제주특별자치도 서귀포시 남원읍 태흥리 364-4
온평리 포구,제주특별자치도 서귀포시 성산읍 온평리,제주특별자치도 서귀포시 성산읍 온평리
온평리 환해장성,제주특별자치도 서귀포시 성산읍 환해장성로 732,제주특별자치도 서귀포시 성산읍 온평리 65
올레바당체험마을,제주특별자치도 제주시 한림읍 한림해안로 267-6,제주특별자치도 제주시 한림읍 수원리 724-4
올레여행자센터,제주특별자치도 서귀포시 중정로 22,제주특별자치도 서귀포시 서귀동 316-1
올레캠프 본점 알파캠프,제주특별자치도 서귀포시 성산읍 고성오조로 106,제주특별자치도 서귀포시 성산읍 고성리 1207-2
옷귀마테마타운,제주특별자치도 서귀포시 남원읍 서성로 955-117,제주특별자치도 서귀포시 남원읍 한남리 1631-1
옹포천,제주특별자치도 제주시 한림읍 한림로 563,제주특별자치도 제주시 한림읍 옹포리 404
옹포포구,제주특별자치도 제주시 한림읍 옹포리,제주특별자치도 제주시 한림읍 옹포리
와흘본향당,제주특별자치도 제주시 조천읍 와흘리 1274-1,제주특별자치도 제주시 조천읍 와흘리 1274-1
왈종미술관,제주특별자치도 서귀포시 칠십리로214번길 30,제주특별자치도 서귀포시 동홍동 281-2
왕이메오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,제주특별자치도 서귀포시 안덕면 광평리 산 79
외돌개,제주특별자치도 서귀포시 서홍동 791,제주특별자치도 서귀포시 서홍동 791
요가느림원,제주특별자치도 제주시 원노형2길 33,제주특별자치도 제주시 노형동 922-6
요기개,제주특별자치도 제주시 오남로 280,제주특별자치도 제주시 오라이동 843-5
요람,제주특별자치도 서귀포시 검은여로129번길 13,제주특별자치도 서귀포시 토평동 759-1
용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28,제주특별자치도 제주시 구좌읍 종달리 산28
용담 1동 벽화거리,제주특별자치도 제주시 서문로5길 1,제주특별자치도 제주시 용담일동 130-6
용담/용두암 해안도로,제주특별자치도 제주시 서해안로 687-8,제주특별자치도 제주시 용담이동 488-9
용담레포츠공원,제주특별자치도 제주시 서해안로 580,제주특별자치도 제주시 용담삼동 1089
용두암,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담이동 483
용두암해안도로카페거리,제주특별자치도 제주시 용담3동,제주특별자치도 제주시 용담3동
용둠범목제계단길,제주특별자치도 제주시 추자면 영흥리,제주특별자치도 제주시 추자면 영흥리
용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,제주특별자치도 서귀포시 안덕면 사계리 112-3
용수항,제주특별자치도 제주시 한경면 용수리,제주특별자치도 제주시 한경면 용수리
용연,제주특별자치도 제주시 흥운길 73,제주특별자치도 제주시 용담이동 454-1
용연카누클럽,제주특별자치도 제주시 용담2동 438,명제주특별자치도 제주시 흥운길 79
우도 득성이코지,제주특별자치도 제주시 우도면 연평리,제주특별자치도 제주시 우도면 연평리
우도 봉수대,제주특별자치도 제주시 우도면 연평리 798,제주특별자치도 제주시 우도면 연평리 798
우도 비양도,제주특별자치도 제주시 우도면 연평리,제주특별자치도 제주시 우도면 연평리
우도(해양도립공원),제주특별자치도 제주시 우도면 삼양고수물길 1,제주특별자치도 제주시 우도면 연평리 904-1
우도등대,제주특별자치도 제주시 우도면 우도봉길 105,제주특별자치도 제주시 우도면 연평리 337
우도봉 ATV,제주특별자치도 제주시 우도면 우도봉길 47,제주특별자치도 제주시 우도면 연평리 343-2
우도봉 풍경,제주특별자치도 제주시 우도면 연평리 1,제주특별자치도 제주시 우도면 연평리 1
우도산호해변 홍조단괴 서빈백사,제주특별자치도 제주시 우도면 우도해안길 252,제주특별자치도 제주시 우도면 연평리 2516-2
우도스쿠터여행,제주특별자치도 제주시 우도면 2395-5,제주특별자치도 제주시 우도면 2395-5
우도올레보트,제주특별자치도 제주시 우도면 연평리 2562-1,제주특별자치도 제주시 우도면 연평리 2562-1
우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산등용로 130-21,제주특별자치도 서귀포시 성산읍 성산리 347-9
우도징기스칸승마체험,제주특별자치도 제주시 우도면 우도해안길 446,제주특별자치도 제주시 우도면 연평리 988-1
우포토 시네마 갤러리 카페,제주특별자치도 서귀포시 대정읍 상모로 216-2,제주특별자치도 서귀포시 대정읍 상모리 2625-5
"웃밤(웃바매기,웃밤오름)",제주특별자치도 제주시 조천읍 선흘리 산 84,제주특별자치도 제주시 조천읍 선흘리 산 84
웃세오름(누운오름),제주특별자치도 제주시 애월읍 1100로 1579-25,제주특별자치도 제주시 애월읍 광령리 산183-4
웃세오름(족은오름),제주특별자치도 제주시 애월읍 평화로,제주특별자치도 제주시 애월읍 광령리 
원당봉,제주특별자치도 제주시 원당로16길 16-30,제주특별자치도 제주시 삼양일동 산1-2
원동,제주특별자치도 제주시 애월읍 소길리 1364 일대,제주특별자치도 제주시 애월읍 소길리 1364 일대
원앙카라반캠핑장앤야영장,제주특별자치도 서귀포시 돈내코로 120,제주특별자치도 서귀포시 상효동 1460-3
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,제주특별자치도 서귀포시 상효동 1463
월나봉(도래오름),제주특별자치도 서귀포시 안덕면 감산리 1148 일대,제주특별자치도 서귀포시 안덕면 감산리 1148 일대
월대천,제주특별자치도 제주시 월대6길 5,제주특별자치도 제주시 외도이동 232-1
월라봉 진지동굴 (안덕면),제주 서귀포시 안덕면 감산리,제주 서귀포시 안덕면 감산리
월라봉(효돈),제주특별자치도 서귀포시 월라봉로 76-40,제주특별자치도 서귀포시 신효동 산1
월라사,제주특별자치도 서귀포시 효돈순환로 415,제주특별자치도 서귀포시 신효동 579-2
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,제주특별자치도 제주시 한림읍 월령리 359-4
월령포구,제주특별자치도 제주시 한림읍 월평리,제주특별자치도 제주시 한림읍 월평리
월정 투명카약,제주특별자치도 제주시 구좌읍 월정리 1400-33,제주특별자치도 제주시 구좌읍 월정리 1400-33
월정리해변,제주특별자치도 제주시 구좌읍 월정리 33-3,명제주특별자치도 제주시 구좌읍 해맞이해안로 485
월정리해안도로,제주특별자치도 제주시 구좌읍 월정리 652-4,제주특별자치도 제주시 구좌읍 월정리 652-4
월평포구,제주특별자치도 서귀포시 말질로 462,제주특별자치도 서귀포시 월평동 665
위미리 동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,제주특별자치도 서귀포시 남원읍 위미리 906-4
위미항,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,제주특별자치도 서귀포시 남원읍 위미리 1757-12
윈드1947 카트 테마파크,제주특별자치도 서귀포시 토평공단로 78-27,제주특별자치도 서귀포시 토평동 1799
윗세오름(웃세오름),제주특별자치도 제주시 애월읍 광령리 산 183-1,제주특별자치도 제주시 애월읍 광령리 산 183-1
유건에오름,제주특별자치도 서귀포시 성산읍 난산리 2302,제주특별자치도 서귀포시 성산읍 난산리 2302
유동룡미술관,제주특별자치도 제주시 한림읍 용금로 906-10,제주특별자치도 제주시 한림읍 월림리 115-161
유리멘탈 스튜디오,제주특별자치도 제주시 한경면 낙수로12길,제주특별자치도 제주시 한경면 조수리 1464-8
유민미술관,제주특별자치도 서귀포시 성산읍 고성리 21,제주특별자치도 서귀포시 성산읍 고성리 21
유진팡 열대과일농장,제주특별자치도 서귀포시 남원읍 원님로399번길 31-7,제주특별자치도 서귀포시 남원읍 신흥리 2177
유캠프,제주특별자치도 제주시 애조로 1216,제주특별자치도 제주시 오라이동 504
육시우영,제주특별자치도 제주시 애월읍 하가리,제주특별자치도 제주시 애월읍 하가리
율랜드 다이브센터,제주특별자치도 서귀포시 칠십리로 490,제주특별자치도 서귀포시 보목동 762-5
이니스프리제주하우스,제주특별자치도 서귀포시 안덕면 신화역사로 23,제주특별자치도 서귀포시 안덕면 서광리 1235-1
이덕구 산전,제주특별자치도 제주시 조천읍 516로 1865,제주특별자치도 제주시 조천읍 교래리 산137-24
이랜드뮤지엄,제주특별자치도 제주시 한림해안로 530,제주특별자치도 제주시 한림읍 귀덕리 3861
이로이로공방,제주특별자치도 제주시 구좌읍 하도7길 16-11,제주특별자치도 제주시 구좌읍 하도리 1249
이상한 나라의 앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881,제주특별자치도 서귀포시 안덕면 서광리 717-3
이승이오름(이승악),제주특별자치도 서귀포시 남원읍 신례리 산 12-19,명제주특별자치도 서귀포시 남원읍 신례천로 267-110
이음새,제주특별자치도 서귀포시 남원읍 위미리 4137-1,제주특별자치도 서귀포시 남원읍 위미리 4137-1
이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1 (서귀동),제주특별자치도 서귀포시 서귀동 370-21
이중섭거주지,제주특별자치도 서귀포시 이중섭로 29,제주특별자치도 서귀포시 서귀동 512-1
이중섭미술관,제주특별자치도 서귀포시 이중섭로 27-3,제주특별자치도 서귀포시 서귀동 532-1
이편한치과,제주특별자치도 제주시 연북로 527 반디빌딩 5층,제주특별자치도 제주시 아라일동 6035-1
이호-내도 해안도로,제주특별자치도 제주시 테우해안로 60,제주특별자치도 제주시 내도동 475
이호털보네배낚시,제주특별자치도 제주시 이호1동 1787,명제주특별자치도 제주시 테우해안로 146
이호테우말등대,제주특별자치도 제주시 서해안로 58,제주특별자치도 제주시 이호일동 374
이호테우해수욕장,제주특별자치도 제주시 도리로 20,제주특별자치도 제주시 이호이동 1600-1
익스트림제주 카약올레,제주시 애월읍 애월로1길 22,제주특별자치도 제주시 애월읍 애월리 2490-1
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010
일출랜드 아트센터,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010
임문숙 가족 헛묘,제주특별자치도 서귀포시 안덕면 동광리 807-4,제주특별자치도 서귀포시 안덕면 동광리 807-4
입산봉(삿갓오름),제주특별자치도 제주시 구좌읍 김녕리 1033-19,제주특별자치도 제주시 구좌읍 김녕리 1033-19
자구내포구,제주특별자치도 제주시 한경면 고산리,제주특별자치도 제주시 한경면 고산리
자구리공원,제주특별자치도 서귀포시 칠십리로 145,제주특별자치도 서귀포시 서귀동 70
자리왓,제주특별자치도 제주시 애월읍 봉성리 1410 일대,제주특별자치도 제주시 애월읍 봉성리 1410 일대
"자배봉(자배오름,망오름)",제주특별자치도 서귀포시 남원읍  위미리 산 132-1,제주특별자치도 서귀포시 남원읍  위미리 산 132-1
장생의 숲길,제주특별자치도 제주시 명림로 584,제주특별자치도 제주시 봉개동 산78-1
장전리 벚꽃축제길,제주특별자치도 제주시 애월읍 광상로 403,제주특별자치도 제주시 애월읍 장전리 628-3
저지 예술인 마을,제주특별자치도 제주시 한경면 저지14길 28-4,제주특별자치도 제주시 한경면 저지리 2120-116
"저지오름(닥몰오름,새오름)",제주특별자치도 제주시 한경면 저지리 산 51,제주특별자치도 제주시 한경면 저지리 산 51
전농로 서사라문화거리,제주특별자치도 제주시 서사로7길 27,제주특별자치도 제주시 삼도이동 1230-4
절물오름(큰대나),제주특별자치도 제주시 명림로 584 일대,제주특별자치도 제주시 봉개동 산78-1
절부암,제주특별자치도 제주시 한경면 용수3길 22,제주특별자치도 제주시 한경면 용수리 4241-1
점보빌리지,제주특별자치도 서귀포시 안덕면 평화로 319번길 31-11,제주특별자치도 서귀포시 안덕면 서광리 2351
정모시쉼터,제주특별자치도 서귀포시 부두로5번길 9,제주특별자치도 서귀포시 서귀동 57-4
정물오름,제주특별자치도 제주시 한림읍 금악리 산 52-1,제주특별자치도 제주시 한림읍 금악리 산 52-1
정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278
정의향교,제주특별자치도 서귀포시 표선면 성읍서문로 14,제주특별자치도 서귀포시 표선면 성읍리 820-1
정의현 일관헌,제주특별자치도 서귀포시 표선면 성읍리 690,제주특별자치도 서귀포시 표선면 성읍리 690
정주항,제주특별자치도 제주시 조천읍 함덕리,제주특별자치도 제주시 조천읍 함덕리
제라진 제주오프로드 사파리,제주특별자치도 제주시 조천읍 선교로 33,제주특별자치도 제주시 조천읍 선흘리 624-4
제라펫,제주특별자치도 제주시 용담로20길 28,제주특별자치도 제주시 용담일동 246-28
제로스테이션(제로포인트트레일),제주특별자치도 제주시 산지로 25 2층,제주특별자치도 제주시 건입동 1136
제스피 맥주협동조합 양조장,제주특별자치도 서귀포시 남원읍 서성로652번길 63-3,제주특별자치도 서귀포시 남원읍 한남리 산5-20
제원한의원,제주특별자치도 제주시 신대로14길 36 2층,제주특별자치도 제주시 연동 282-52
제이앤승마클럽,제주특별자치도 제주시 해안마을7길 211,제주특별자치도 제주시 해안동 351
제이홀스 승마클럽,제주특별자치도 제주시 월산남길 284,제주특별자치도 제주시 해안동 317-2
제주 더팔팔농장,제주특별자치도 서귀포시 성산읍 독자봉로60번길 20,제주특별자치도 서귀포시 성산읍 신산리 1371-1
제주 삼양동 유적,제주특별자치도 제주시 선사로2길 13 (삼양일동),제주특별자치도 제주시 삼양일동 1660-5
제주 이호털보 배낚시,제주시 테우해안로 146,제주특별자치도 제주시 이호일동 1787
제주 카카오캠핑,제주특별자치도 제주시 일주서로 7867,제주특별자치도 제주시 연동 1987
제주 토이 승마장,제주특별자치도 서귀포시 안덕면 동광로 265-14,제주특별자치도 서귀포시 안덕면 동광리 897-2
제주 패러글라이딩 스쿨,"제주특별자치도 제주시 신선길 17-6, 일도주택3층(일도2동)",제주특별자치도 제주시 일도이동 1029-139
제주4.3평화공원,제주특별자치도 제주시 명림로 430,제주특별자치도 제주시 봉개동 237-2
제주고산리유적,제주특별자치도 제주시 한경면 노을해안로 1100,제주특별자치도 제주시 한경면 고산리 3650-1
제주공룡랜드[휴장중],제주특별자치도 제주시 애월읍 광령평화2길 1,제주특별자치도 제주시 애월읍 광령리 2698
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,제주특별자치도 서귀포시 대정읍 보성리 산1
제주교육박물관,제주특별자치도 제주시 오복 4길 25,제주특별자치도 제주시 이도이동 539-14
제주국제공항,제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담이동 2002
제주국제공항(정뜨르비행장),제주특별자치도 제주시 공항로 2,제주특별자치도 제주시 용담이동 2002
제주국제예술센터,제주특별자치도 서귀포시 대정읍 서삼중로 117,제주특별자치도 서귀포시 대정읍 무릉리 3296
제주국제컨벤션센터 icc,제주특별자치도 서귀포시 중문관광로 224,제주특별자치도 서귀포시 중문동 2700
제주국제평화센터,제주특별자치도 서귀포시 중문 관광로 227-24,제주특별자치도 서귀포시 중문동 2571
제주글램핑 (무한자미향),제주특별자치도 제주시 구좌읍 중산간동로 1921,제주특별자치도 제주시 구좌읍 덕천리 1811
제주기독교순례길,제주특별자치도 제주시 애월읍 금성하안길 3,제주특별자치도 제주시 애월읍 금성리 436-3
제주김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,제주특별자치도 제주시 구좌읍 김녕리 산16
제주난타,제주특별자치도 제주시 선돌목동길 56-26,제주특별자치도 제주시 오등동 10-1
제주농업학교 옛터,제주특별자치도 제주시 전농로 100,제주특별자치도 제주시 삼도일동 305-4
제주다,제주특별자치도 제주시 애월읍 납읍남로 65,제주특별자치도 제주시 애월읍 납읍리 1417-4
제주다원 녹차미로공원,제주특별자치도 서귀포시 산록남로 1258,제주특별자치도 서귀포시 색달동 산51-4
제주다이브 체험다이빙,제주특별자치도 서귀포시 월드컵로 84,제주특별자치도 서귀포시 강정동 349-1
제주대학교 가는길,제주특별자치도 제주시 제주대학로 102,제주특별자치도 제주시 아라일동 1
제주대학교병원,제주특별자치도 제주시 아란13길 15,제주특별자치도 제주시 아라일동 1753-3
제주도공방노꼬메,제주특별자치도 제주시 동문로21길 19-2,제주특별자치도 제주시 건입동 1043-2
제주도립김창열미술관,제주특별자치도 제주시 한경면 용금로 883-5,제주특별자치도 제주시 한림읍 월림리 115-23
제주돌마을공원,제주특별자치도 제주시 한림읍 금능남로 421,제주특별자치도 제주시 한림읍 금능리 368-2
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산95
제주돌하르방캠핑장,제주특별자치도 제주시 한경면 낙수로 271-40,제주특별자치도 제주시 한경면 청수리 2130
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 15,제주특별자치도 서귀포시 남원읍 위미리 904-3
제주라프 짚라인,제주특별자치도 제주시 조천읍 선교로 117,제주특별자치도 제주시 조천읍 선흘리 600
제주러브랜드,제주특별자치도 제주시 1100로 2894-72,제주특별자치도 제주시 연동 680-26
제주레이크힐스컨트리클럽,제주특별자치도 서귀포시 산록남로 1391 (중문동),제주특별자치도 서귀포시 중문동 산5
제주레일바이크,제주특별자치도 제주시 구좌읍 용눈이오름로 641,제주특별자치도 제주시 구좌읍 종달리 4639
제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,제주특별자치도 제주시 조천읍 와흘리 870
제주롯데스카이힐컨트리클럽,제주특별자치도 서귀포시 상예로 530,제주특별자치도 서귀포시 색달동 240
제주목관아,제주특별자치도 제주시 관덕로 25,제주특별자치도 제주시 삼도이동 1045-1
제주문예회관,제주특별자치도 제주시 동광로 69,제주특별자치도 제주시 일도이동 852
제주미래교육연구원 과학탐구체험장,제주특별자치도 제주시 산록북로 421,제주특별자치도 제주시 오라이동 1-2
제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 표선리 40-1
제주바다체험장,제주특별자치도 제주시 구좌읍 동복리 608-3,명제주특별자치도 제주시 구좌읍 일주동로 1777
제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575,제주특별자치도 서귀포시 성산읍 난산리 2575
제주베스트힐,제주특별자치도 제주시 조천읍 남조로 2109-38,제주특별자치도 제주시 조천읍 교래리 786-29
제주별빛누리공원,제주특별자치도 제주시 선돌목동길 60,제주특별자치도 제주시 오등동 10-34
제주불교성지 순례길 절로 가는길 - 보시의 길,제주특별자치도 제주시 애월읍 수산곰솔길 56,제주특별자치도 제주시 애월읍 수산리 산1-3
제주불교성지 순례길 절로 가는길 - 인욕의 길,제주특별자치도 제주시 산록북로 660,제주특별자치도 제주시 아라일동 387
제주불교성지 순례길 절로 가는길 - 정진의 길,제주특별자치도 서귀포시 영실로 246 (하원동),제주특별자치도 서귀포시 하원동 산1-1
제주불교성지 순례길 절로 가는길 - 지계의 길,제주특별자치도 제주시 서연길 10,제주특별자치도 제주시 연동 69-4
제주불교성지 순례길 절로가는길 - 선정의 길,제주특별자치도 서귀포시 516로771번길 59,제주특별자치도 서귀포시 상효동 산86-13
제주불빛정원 테마파크,제주특별자치도 제주시 애월읍 평화로 2346,제주특별자치도 제주시 애월읍 유수암리 1083
제주빅볼랜드,제주특별자치도 제주시 구좌읍 금백조로 951,제주특별자치도 제주시 구좌읍 송당리 산164-4
제주사랑방(제주책방),제주특별자치도 제주시 관덕로17길 27-1,제주특별자치도 제주시 일도일동 1243-1
제주성지,제주특별자치도 제주시 오현길 61,제주특별자치도 제주시 이도일동 1421-34
제주세계자연유산센터,제주특별자치도 제주시 조천읍 선교로 569-36(선흘리 478),제주특별자치도 제주시 조천읍 선흘리 478
제주센트럴파크,제주특별자치도 제주시 조천읍 비자림로 606,제주특별자치도 제주시 조천읍 교래리 산56-4
제주스쿠터여행,제주시 서광로 164,제주특별자치도 제주시 오라일동 2440-5
제주승마공원,제주특별자치도 제주시 애월읍 녹고메길 152-1,제주특별자치도 제주시 애월읍 유수암리 1175
제주시 충혼묘지 4·3추모비(박진경 추도비),제주특별자치도 제주시 노형동 산 19-2,제주특별자치도 제주시 노형동 산 19-2
제주신화전설탐방로,제주특별자치도 서귀포시 안덕면 녹차분재로 218,제주특별자치도 서귀포시 안덕면 서광리 산39
제주실탄사격장,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),제주특별자치도 서귀포시 상예동 2802
제주아리랑 NEW 혼,제주특별자치도 서귀포시 표선면 번영로 2564-21,제주특별자치도 서귀포시 표선면 성읍리 2684
제주아리온승마장,제주특별자치도 서귀포시 안덕면 신화역사로403번길 79,제주특별자치도 서귀포시 안덕면 동광리 1391
제주아세안홀,제주특별자치도 서귀포시 중문관광로 227-24,제주특별자치도 서귀포시 중문동 2571
제주아트서커스,제주특별자치도 서귀포시 안덕면 동광로 214,제주특별자치도 서귀포시 안덕면 동광리 886
제주아트센터,제주특별자치도 제주시 오남로 231,제주특별자치도 제주시 오라이동 898-8
제주안전체험관,제주특별자치도 제주시 애월읍 평화로 1885,제주특별자치도 제주시 애월읍 어음리 41-4
제주양떼목장,제주특별자치도 제주시 애월읍 도치돌길 289-13,제주특별자치도 제주시 애월읍 납읍리 114
제주어울림감귤체험농장,제주특별자치도 서귀포시 성산읍 서성일로 809,제주특별자치도 서귀포시 성산읍 수산리 1948
제주여가마을,제주특별자치도 제주시 조천읍 조와로 360,제주특별자치도 제주시 조천읍 와흘리 1480-2
제주오렌지,제주특별자치도 서귀포시 남원읍 서성로 684-5,제주특별자치도 서귀포시 남원읍 한남리 산5-7
제주오름승마랜드,조천읍 번영로 1734-15,제주특별자치도 제주시 조천읍 선흘리 454-1
제주올레 1-1코스,제주특별자치도 제주시 우도면 연평리 2473-1,제주특별자치도 제주시 우도면 연평리 2473-1
제주올레 10-1코스,제주특별자치도 서귀포시 대정읍 가파리 298,제주특별자치도 서귀포시 대정읍 가파리 298
제주올레 10코스,제주특별자치도 서귀포시 대정읍 상모리 산 2-27,제주특별자치도 서귀포시 대정읍 상모리 산 2-27
제주올레 11코스,제주특별자치도 서귀포시 대정읍 동일리 3168,명제주특별자치도 서귀포시 대정읍 대한로 15-1
제주올레 12코스,제주특별자치도 서귀포시 대정읍 신도리 2883-2,제주특별자치도 서귀포시 대정읍 신도리 2883-2
제주올레 13코스,제주특별자치도 제주시 한경면 조수리 2137-2,제주특별자치도 제주시 한경면 조수리 2137-2
제주올레 14-1코스,제주특별자치도 서귀포시 안덕면 서광리 산 50-22,제주특별자치도 서귀포시 안덕면 서광리 산 50-22
제주올레 14코스,제주특별자치도 제주시 한림읍 월령리 산 9-15,제주특별자치도 제주시 한림읍 월령리 산 9-15
제주올레 15-A코스,제주특별자치도 제주시 애월읍 납읍리 2695-5,제주특별자치도 제주시 애월읍 납읍리 2695-5
제주올레 15-B코스,제주특별자치도 제주시 한림읍 한림해안로 192,제주특별자치도 제주시 한림읍 대림리 2019-17
제주올레 16코스,제주특별자치도 제주시 애월읍 고내리 1111-2,제주특별자치도 제주시 애월읍 고내리 1111-2
제주올레 17코스,제주특별자치도 제주시 도두1동 2612-1,제주특별자치도 제주시 도두1동 2612-1
제주올레 18-1코스,제주특별자치도 제주시 추자면 묵리 산 133,제주특별자치도 제주시 추자면 묵리 산 133
제주올레 18코스,제주특별자치도 제주시 삼양1동 1131-2,제주특별자치도 제주시 삼양1동 1131-2
제주올레 19코스,제주특별자치도 제주시 조천읍 조천리 1142,제주특별자치도 제주시 조천읍 조천리 1142
제주올레 1코스,제주특별자치도 서귀포시 성산읍 오조리 396-1,제주특별자치도 서귀포시 성산읍 오조리 396-1
제주올레 20코스,제주특별자치도 제주시 구좌읍 행원동길 22,제주특별자치도 제주시 구좌읍 행원리 768
제주올레 21코스,제주특별자치도 제주시 구좌읍 하도리 3204-1,제주특별자치도 제주시 구좌읍 하도리 3204-1
제주올레 2코스,제주특별자치도 서귀포시 성산읍 고성리 2563-3,제주특별자치도 서귀포시 성산읍 고성리 2563-3
제주올레 3코스,제주특별자치도 서귀포시 표선면 하천리 87-1,제주특별자치도 서귀포시 표선면 하천리 87-1
제주올레 4코스,제주특별자치도 서귀포시 남원읍 태흥리 200-2,제주특별자치도 서귀포시 남원읍 태흥리 200-2
